crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Manslaughter , 0 , 0 , 0 , 0 , 1 , 0
Rape , 1 , 0 , 5 , 4 , 0 , 0
Firearm , 1 , 0 , 6 , 3 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 3 , 0 , 15 , 2 , 0 , 0
Gun , 7 , 0 , 8 , 3 , 2 , 0
Knife or Cutting Instrument , 0 , 0 , 3 , 2 , 1 , 0
Other Dangerous Weapon , 3 , 0 , 14 , 3 , 2 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 8 , 9 , 8 , 0
"Simple (Hands, Fists, Feet, etc.) ", 28 , 0 , 136 , 92 , 28 , 1
Forcible Entry , 3 , 0 , 34 , 18 , 2 , 0
Unlawful Entry , 2 , 0 , 4 , 12 , 1 , 0
Attempted Forcible Entry , 1 , 0 , 11 , 1 , 0 , 0
Larceny - Theft , 66 , 0 , 302 , 200 , 34 , 0
Autos , 5 , 0 , 36 , 4 , 0 , 0
Trucks and Buses , 1 , 0 , 11 , 7 , 0 , 0
Other Vehicle , 2 , 0 , 4 , 5 , 0 , 0
