crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 0 , 0 , 0
Rape , 0 , 0 , 1 , 2 , 0 , 0
Firearm , 1 , 0 , 2 , 2 , 3 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 5 , 0 , 1 , 0
Gun , 1 , 0 , 4 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 3 , 2 , 2 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 6 , 3 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 23 , 0 , 96 , 50 , 50 , 11
Forcible Entry , 4 , 0 , 35 , 2 , 0 , 0
Unlawful Entry , 1 , 0 , 22 , 10 , 1 , 0
Attempted Forcible Entry , 2 , 0 , 12 , 4 , 1 , 0
Larceny - Theft , 30 , 0 , 155 , 17 , 6 , 2
Autos , 0 , 0 , 1 , 1 , 0 , 0
Trucks and Buses , 0 , 0 , 2 , 1 , 0 , 0
Other Vehicle , 1 , 0 , 5 , 0 , 0 , 0
