crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 0 , 1 , 2 , 1
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 2 , 0 , 27 , 5 , 5 , 0
Forcible Entry , 3 , 0 , 5 , 2 , 1 , 0
Unlawful Entry , 6 , 0 , 6 , 2 , 3 , 1
Larceny - Theft , 16 , 0 , 45 , 43 , 5 , 0
Autos , 0 , 0 , 2 , 3 , 2 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
