crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 1 , 1 , 0
Firearm , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 0 , 18 , 11 , 9 , 0
Forcible Entry , 6 , 0 , 16 , 10 , 2 , 0
Unlawful Entry , 9 , 0 , 26 , 12 , 4 , 0
Attempted Forcible Entry , 1 , 0 , 3 , 7 , 0 , 0
Larceny - Theft , 22 , 0 , 92 , 39 , 11 , 1
Autos , 0 , 0 , 2 , 0 , 0 , 0
Trucks and Buses , 0 , 0 , 0 , 2 , 0 , 0
