crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 2 , 0 , 5 , 2 , 1 , 0
Rape , 3 , 0 , 20 , 16 , 4 , 0
Attempted Rape , 0 , 0 , 1 , 1 , 0 , 0
Firearm , 11 , 0 , 74 , 48 , 9 , 3
Knife or Cutting Instrument , 5 , 0 , 18 , 10 , 0 , 0
Other Dangerous Weapon , 4 , 0 , 8 , 10 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 28 , 0 , 87 , 101 , 23 , 10
Gun , 5 , 0 , 20 , 13 , 3 , 0
Knife or Cutting Instrument , 9 , 0 , 32 , 33 , 9 , 0
Other Dangerous Weapon , 16 , 0 , 61 , 58 , 11 , 1
"Aggravated (Hands, Fists, Feet, etc.) ", 19 , 0 , 54 , 43 , 11 , 0
"Simple (Hands, Fists, Feet, etc.) ", 110 , 0 , 444 , 466 , 179 , 8
Forcible Entry , 48 , 0 , 206 , 175 , 14 , 3
Unlawful Entry , 8 , 0 , 37 , 56 , 1 , 0
Attempted Forcible Entry , 4 , 0 , 19 , 12 , 0 , 0
Larceny - Theft , 181 , 0 , 835 , 708 , 101 , 8
Autos , 59 , 0 , 275 , 279 , 0 , 0
Trucks and Buses , 3 , 0 , 12 , 14 , 0 , 0
Other Vehicle , 5 , 0 , 11 , 11 , 0 , 0
