crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 0 , 3 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 1 , 0 , 2 , 0 , 0
Gun , 0 , 0 , 2 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 0 , 1 , 7 , 5 , 1 , 1
Forcible Entry , 2 , 1 , 12 , 4 , 1 , 0
Unlawful Entry , 1 , 0 , 8 , 3 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 1 , 0 , 0
Larceny - Theft , 2 , 2 , 7 , 7 , 1 , 0
Autos , 0 , 0 , 1 , 1 , 1 , 0
