crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 0 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 2 , 0 , 17 , 20 , 11 , 0
Forcible Entry , 3 , 0 , 4 , 4 , 1 , 0
Unlawful Entry , 1 , 0 , 7 , 6 , 3 , 1
Attempted Forcible Entry , 1 , 0 , 2 , 4 , 1 , 0
Larceny - Theft , 17 , 0 , 86 , 62 , 20 , 2
Autos , 0 , 0 , 0 , 1 , 0 , 0
