crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 2 , 1 , 0 , 0
Attempted Rape , 0 , 0 , 0 , 0 , 0 , 0
Firearm , 0 , 0 , 1 , 2 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 1
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 3 , 0 , 6 , 2 , 1 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 2 , 0 , 5 , 1 , 1 , 1
Other Dangerous Weapon , 2 , 0 , 3 , 3 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 12 , 0 , 60 , 44 , 16 , 0
Forcible Entry , 0 , 0 , 5 , 4 , 1 , 1
Unlawful Entry , 4 , 0 , 4 , 2 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 6 , 0 , 0 , 0
Larceny - Theft , 51 , 0 , 194 , 109 , 52 , 9
Autos , 3 , 0 , 5 , 0 , 0 , 0
