crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 1 , 0 , 1 , 0 , 0 , 0
Rape , 2 , 0 , 4 , 0 , 0 , 0
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 2 , 0 , 0 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 3 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 4 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 4 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 13 , 0 , 59 , 0 , 0 , 0
Forcible Entry , 3 , 0 , 33 , 0 , 0 , 0
Unlawful Entry , 4 , 0 , 15 , 0 , 0 , 0
Larceny - Theft , 25 , 0 , 71 , 0 , 0 , 0
Trucks and Buses , 1 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 0 , 0 , 0
