crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 1 , 4 , 1 , 0 , 0
Rape , 1 , 2 , 9 , 7 , 2 , 0
Attempted Rape , 0 , 0 , 0 , 1 , 0 , 0
Firearm , 13 , 6 , 66 , 47 , 8 , 1
Knife or Cutting Instrument , 1 , 0 , 4 , 7 , 3 , 0
Other Dangerous Weapon , 2 , 0 , 5 , 5 , 2 , 0
"Strong Arm (Hands, Fists, etc.) ", 14 , 9 , 67 , 42 , 8 , 0
Gun , 3 , 5 , 19 , 25 , 13 , 1
Knife or Cutting Instrument , 5 , 5 , 15 , 24 , 15 , 0
Other Dangerous Weapon , 8 , 4 , 14 , 18 , 9 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 3 , 1 , 11 , 8 , 2 , 1
"Simple (Hands, Fists, Feet, etc.) ", 60 , 67 , 293 , 300 , 136 , 0
Forcible Entry , 22 , 13 , 132 , 99 , 12 , 1
Unlawful Entry , 5 , 4 , 45 , 60 , 1 , 0
Attempted Forcible Entry , 1 , 1 , 19 , 7 , 0 , 0
Larceny - Theft , 59 , 30 , 236 , 223 , 34 , 3
Autos , 57 , 28 , 206 , 152 , 5 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 2 , 0 , 2 , 1 , 0 , 0
