crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 1 , 1 , 0
Firearm , 2 , 0 , 3 , 0 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 3 , 0 , 4 , 1 , 0 , 0
Gun , 0 , 0 , 0 , 2 , 1 , 0
Knife or Cutting Instrument , 1 , 0 , 5 , 2 , 2 , 0
Other Dangerous Weapon , 2 , 0 , 7 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 5 , 0 , 7 , 4 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 21 , 0 , 57 , 24 , 14 , 0
Forcible Entry , 5 , 0 , 53 , 8 , 0 , 0
Unlawful Entry , 4 , 0 , 9 , 6 , 0 , 0
Attempted Forcible Entry , 3 , 0 , 10 , 4 , 0 , 0
Larceny - Theft , 41 , 0 , 109 , 29 , 5 , 0
Autos , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 0 , 0 , 0
