crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 0 , 23 , 17 , 17 , 0
Forcible Entry , 1 , 0 , 3 , 2 , 0 , 0
Unlawful Entry , 4 , 0 , 7 , 1 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 1 , 0 , 0
Larceny - Theft , 9 , 0 , 20 , 16 , 0 , 0
Autos , 0 , 0 , 3 , 3 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
