crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 1 , 1 , 0 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 0 , 1 , 3 , 6 , 1 , 0
Forcible Entry , 0 , 1 , 3 , 3 , 1 , 0
Unlawful Entry , 1 , 0 , 3 , 6 , 0 , 0
Larceny - Theft , 17 , 6 , 46 , 15 , 2 , 0
Autos , 0 , 0 , 1 , 0 , 0 , 0
Trucks and Buses , 0 , 2 , 0 , 2 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
