crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 4 , 3 , 0
Gun , 0 , 0 , 0 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 2 , 2 , 0
Other Dangerous Weapon , 3 , 0 , 3 , 3 , 2 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 9 , 0 , 40 , 30 , 9 , 0
Forcible Entry , 2 , 0 , 6 , 6 , 3 , 0
Unlawful Entry , 3 , 0 , 3 , 2 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 4 , 0 , 0
Larceny - Theft , 36 , 0 , 151 , 115 , 41 , 0
Autos , 1 , 0 , 15 , 10 , 2 , 0
Trucks and Buses , 0 , 0 , 2 , 4 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 2 , 0 , 0
