crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 1 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 1 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 4 , 5 , 0 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 3 , 1 , 5 , 3 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 3 , 1 , 6 , 2 , 2 , 0
"Simple (Hands, Fists, Feet, etc.) ", 7 , 7 , 31 , 38 , 20 , 2
Forcible Entry , 3 , 0 , 5 , 10 , 3 , 0
Unlawful Entry , 3 , 2 , 7 , 8 , 1 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 1 , 1 , 0
Larceny - Theft , 19 , 21 , 68 , 97 , 13 , 1
Autos , 3 , 0 , 14 , 22 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 3 , 0 , 0
