crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Other Dangerous Weapon , 1 , 0 , 3 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 1 , 0 , 12 , 9 , 3 , 0
Forcible Entry , 3 , 0 , 8 , 1 , 0 , 0
Unlawful Entry , 1 , 0 , 5 , 0 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 0 , 0 , 0
Larceny - Theft , 8 , 0 , 19 , 19 , 2 , 1
Autos , 1 , 0 , 2 , 0 , 0 , 0
Trucks and Buses , 1 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 1 , 0 , 1 , 0 , 0 , 0
