crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 4 , 1 , 0 , 0
Firearm , 0 , 1 , 0 , 3 , 1 , 0
Knife or Cutting Instrument , 0 , 1 , 1 , 1 , 2 , 2
Other Dangerous Weapon , 0 , 0 , 1 , 3 , 2 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 4 , 1 , 0
Gun , 0 , 0 , 4 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 3 , 3 , 4 , 1
Other Dangerous Weapon , 3 , 0 , 9 , 5 , 3 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 4 , 1 , 12 , 10 , 12 , 0
"Simple (Hands, Fists, Feet, etc.) ", 32 , 24 , 130 , 115 , 63 , 7
Forcible Entry , 5 , 6 , 27 , 32 , 3 , 0
Unlawful Entry , 2 , 7 , 17 , 28 , 4 , 0
Attempted Forcible Entry , 1 , 1 , 8 , 6 , 0 , 0
Larceny - Theft , 58 , 86 , 288 , 354 , 82 , 1
Autos , 2 , 0 , 4 , 3 , 1 , 0
Other Vehicle , 1 , 0 , 1 , 2 , 0 , 0
