crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 0 , 24 , 18 , 16 , 1
Forcible Entry , 1 , 0 , 7 , 1 , 0 , 0
Unlawful Entry , 2 , 0 , 3 , 3 , 2 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 0 , 0 , 0
Larceny - Theft , 10 , 0 , 32 , 29 , 4 , 0
Autos , 0 , 0 , 0 , 1 , 0 , 0
