crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 1 , 0 , 0
Rape , 0 , 0 , 0 , 1 , 0 , 0
Firearm , 0 , 0 , 1 , 4 , 2 , 0
Knife or Cutting Instrument , 0 , 0 , 4 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 13 , 11 , 9 , 0
Gun , 1 , 0 , 1 , 2 , 2 , 0
Knife or Cutting Instrument , 0 , 0 , 6 , 3 , 3 , 0
Other Dangerous Weapon , 0 , 0 , 4 , 6 , 5 , 1
"Aggravated (Hands, Fists, Feet, etc.) ", 7 , 0 , 17 , 14 , 10 , 2
"Simple (Hands, Fists, Feet, etc.) ", 46 , 0 , 210 , 166 , 59 , 10
Forcible Entry , 10 , 0 , 45 , 25 , 5 , 1
Unlawful Entry , 8 , 0 , 31 , 23 , 5 , 0
Attempted Forcible Entry , 3 , 0 , 8 , 5 , 0 , 0
Larceny - Theft , 147 , 0 , 641 , 550 , 245 , 17
Autos , 0 , 0 , 9 , 18 , 1 , 0
Other Vehicle , 0 , 0 , 0 , 6 , 0 , 0
