crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 5 , 2 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 6 , 7 , 2 , 1
Gun , 0 , 0 , 0 , 0 , 1 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 18 , 0 , 81 , 56 , 24 , 0
Forcible Entry , 1 , 0 , 13 , 9 , 0 , 0
Unlawful Entry , 4 , 0 , 13 , 9 , 0 , 0
Attempted Forcible Entry , 1 , 0 , 2 , 2 , 0 , 0
Larceny - Theft , 15 , 0 , 66 , 74 , 1 , 0
Autos , 3 , 0 , 17 , 11 , 0 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 1 , 0 , 1 , 2 , 0 , 0
