crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 2 , 0 , 0 , 0
Firearm , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 4 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 4 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 11 , 0 , 41 , 0 , 0 , 0
Forcible Entry , 1 , 0 , 23 , 0 , 0 , 0
Unlawful Entry , 1 , 0 , 2 , 0 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 2 , 0 , 0 , 0
Larceny - Theft , 27 , 0 , 75 , 0 , 0 , 0
Autos , 1 , 0 , 1 , 0 , 0 , 0
Trucks and Buses , 0 , 0 , 2 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 0 , 0 , 0
