crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 1 , 0 , 0
Firearm , 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 3 , 0 , 5 , 1 , 0 , 0
Gun , 1 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 3 , 1 , 1 , 0
Other Dangerous Weapon , 1 , 0 , 2 , 3 , 3 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 14 , 0 , 64 , 47 , 16 , 0
Forcible Entry , 0 , 0 , 15 , 14 , 1 , 0
Unlawful Entry , 1 , 0 , 9 , 4 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 3 , 1 , 0 , 0
Larceny - Theft , 16 , 0 , 83 , 74 , 9 , 0
Autos , 7 , 0 , 16 , 7 , 0 , 0
Trucks and Buses , 0 , 0 , 2 , 0 , 0 , 0
