crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 1 , 1 , 0
Firearm , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 3 , 0 , 0
Gun , 1 , 0 , 1 , 8 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 5 , 6 , 3 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 7 , 3 , 2 , 0
"Simple (Hands, Fists, Feet, etc.) ", 26 , 0 , 91 , 70 , 11 , 0
Forcible Entry , 6 , 0 , 32 , 28 , 6 , 1
Unlawful Entry , 2 , 0 , 7 , 15 , 2 , 0
Attempted Forcible Entry , 0 , 0 , 5 , 1 , 0 , 0
Larceny - Theft , 39 , 0 , 128 , 94 , 15 , 1
Autos , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
