crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 2 , 1 , 1 , 0
Firearm , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 1 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 1 , 0 , 3 , 1 , 1 , 0
Forcible Entry , 1 , 0 , 5 , 1 , 0 , 0
Unlawful Entry , 1 , 1 , 3 , 2 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 2 , 0 , 0
Larceny - Theft , 10 , 2 , 34 , 19 , 0 , 0
Autos , 0 , 0 , 2 , 0 , 0 , 0
