crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 6 , 2 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 7 , 0 , 32 , 14 , 9 , 0
Forcible Entry , 3 , 0 , 14 , 0 , 0 , 0
Unlawful Entry , 3 , 0 , 5 , 2 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 2 , 0 , 0 , 0
Larceny - Theft , 6 , 0 , 30 , 25 , 3 , 1
Autos , 0 , 0 , 1 , 1 , 0 , 0
