crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 0 , 1 , 0 , 0
Firearm , 0 , 0 , 1 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 4 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 1 , 0 , 10 , 12 , 11 , 3
Forcible Entry , 0 , 0 , 5 , 3 , 0 , 0
Unlawful Entry , 1 , 0 , 6 , 4 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 4 , 2 , 0 , 0
Larceny - Theft , 14 , 0 , 56 , 36 , 14 , 1
Autos , 0 , 0 , 0 , 2 , 0 , 0
