crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 2 , 0 , 2 , 5 , 5 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 5 , 0 , 26 , 25 , 25 , 0
Forcible Entry , 0 , 0 , 4 , 3 , 1 , 0
Unlawful Entry , 1 , 0 , 4 , 2 , 2 , 0
Larceny - Theft , 12 , 0 , 45 , 26 , 18 , 1
