crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 4 , 2 , 0
Firearm , 1 , 0 , 6 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 0 , 1 , 1
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 3 , 3 , 2 , 0
Gun , 0 , 0 , 4 , 2 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 4 , 7 , 6 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 4 , 4 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 17 , 0 , 81 , 76 , 52 , 23
Forcible Entry , 5 , 0 , 29 , 11 , 0 , 0
Unlawful Entry , 7 , 0 , 21 , 8 , 0 , 0
Attempted Forcible Entry , 1 , 0 , 1 , 1 , 0 , 0
Larceny - Theft , 60 , 0 , 209 , 124 , 32 , 9
Autos , 3 , 0 , 12 , 3 , 0 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 2 , 0 , 2 , 3 , 0 , 0
