crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
Gun , 0 , 0 , 0 , 1 , 1 , 0
Knife or Cutting Instrument , 1 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 0 , 33 , 31 , 29 , 4
Forcible Entry , 0 , 0 , 4 , 11 , 6 , 0
Unlawful Entry , 0 , 0 , 5 , 3 , 0 , 0
Attempted Forcible Entry , 1 , 0 , 5 , 2 , 1 , 0
Larceny - Theft , 11 , 0 , 50 , 41 , 14 , 1
Autos , 1 , 0 , 2 , 1 , 0 , 0
