crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 0 , 2 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
Gun , 0 , 0 , 0 , 2 , 1 , 1
Other Dangerous Weapon , 0 , 1 , 0 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 1 , 8 , 5 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 1 , 15 , 4 , 4 , 0
Forcible Entry , 2 , 0 , 14 , 4 , 0 , 0
Unlawful Entry , 2 , 1 , 10 , 6 , 2 , 0
Attempted Forcible Entry , 0 , 2 , 0 , 5 , 2 , 0
Larceny - Theft , 8 , 9 , 34 , 33 , 6 , 1
Autos , 1 , 2 , 1 , 3 , 1 , 0
