crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 0 , 3 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 8 , 0 , 31 , 30 , 18 , 1
Forcible Entry , 2 , 0 , 3 , 2 , 0 , 0
Unlawful Entry , 1 , 0 , 1 , 8 , 2 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 1 , 0 , 0
Larceny - Theft , 24 , 0 , 68 , 31 , 7 , 1
Autos , 0 , 0 , 0 , 2 , 1 , 0
