crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 2 , 14 , 15 , 14 , 0
Forcible Entry , 0 , 0 , 0 , 1 , 0 , 0
Unlawful Entry , 0 , 1 , 0 , 4 , 1 , 0
Larceny - Theft , 5 , 5 , 27 , 20 , 6 , 0
Autos , 0 , 1 , 0 , 2 , 0 , 0
