crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 8 , 0 , 37 , 21 , 8 , 0
Forcible Entry , 3 , 0 , 7 , 3 , 2 , 0
Unlawful Entry , 1 , 0 , 6 , 0 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 3 , 1 , 0 , 0
Larceny - Theft , 8 , 0 , 37 , 31 , 2 , 0
Other Vehicle , 0 , 0 , 1 , 1 , 0 , 0
