crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 1 , 0 , 0 , 0
Rape , 1 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 0 , 2 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
Gun , 1 , 0 , 1 , 1 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 4 , 1 , 1 , 1
"Simple (Hands, Fists, Feet, etc.) ", 26 , 15 , 86 , 73 , 37 , 3
Forcible Entry , 3 , 1 , 19 , 15 , 0 , 0
Unlawful Entry , 4 , 1 , 23 , 15 , 3 , 0
Attempted Forcible Entry , 2 , 1 , 9 , 6 , 0 , 0
Larceny - Theft , 30 , 25 , 116 , 132 , 21 , 0
Autos , 2 , 1 , 5 , 1 , 0 , 0
Other Vehicle , 0 , 0 , 3 , 3 , 0 , 0
