crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 0 , 14 , 7 , 7 , 0
Forcible Entry , 1 , 0 , 3 , 3 , 0 , 0
Unlawful Entry , 1 , 0 , 1 , 0 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 2 , 1 , 1 , 0
Larceny - Theft , 8 , 0 , 27 , 21 , 8 , 0
Autos , 0 , 0 , 1 , 0 , 0 , 0
Trucks and Buses , 0 , 0 , 0 , 1 , 0 , 0
