crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 1 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
Gun , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 3 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 3 , 0 , 11 , 14 , 4 , 0
Forcible Entry , 1 , 0 , 4 , 5 , 0 , 0
Unlawful Entry , 3 , 0 , 11 , 2 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 2 , 0 , 1 , 0
Larceny - Theft , 31 , 0 , 172 , 116 , 78 , 8
Autos , 0 , 0 , 0 , 1 , 0 , 0
Trucks and Buses , 0 , 0 , 0 , 1 , 0 , 0
