crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 1 , 0 , 0 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 1 , 0 , 4 , 13 , 13 , 1
Forcible Entry , 0 , 0 , 5 , 1 , 0 , 0
Unlawful Entry , 2 , 0 , 7 , 1 , 1 , 0
Attempted Forcible Entry , 1 , 0 , 7 , 1 , 0 , 0
Larceny - Theft , 32 , 0 , 119 , 75 , 25 , 3
Autos , 0 , 0 , 1 , 0 , 0 , 0
