crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 2 , 2 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 3 , 0 , 9 , 6 , 8 , 1
"Simple (Hands, Fists, Feet, etc.) ", 17 , 0 , 89 , 59 , 19 , 0
Forcible Entry , 5 , 0 , 21 , 13 , 2 , 0
Unlawful Entry , 2 , 0 , 13 , 9 , 2 , 0
Attempted Forcible Entry , 2 , 0 , 12 , 7 , 0 , 0
Larceny - Theft , 71 , 0 , 285 , 208 , 67 , 2
Autos , 2 , 0 , 12 , 6 , 0 , 0
Trucks and Buses , 0 , 0 , 2 , 1 , 0 , 0
Other Vehicle , 0 , 0 , 2 , 2 , 0 , 0
