crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Gun , 0 , 0 , 0 , 2 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 0 , 18 , 8 , 3 , 0
Forcible Entry , 1 , 0 , 5 , 5 , 2 , 0
Unlawful Entry , 0 , 0 , 5 , 7 , 2 , 0
Attempted Forcible Entry , 2 , 0 , 3 , 5 , 0 , 0
Larceny - Theft , 10 , 0 , 55 , 31 , 6 , 1
Autos , 2 , 0 , 9 , 2 , 0 , 0
