crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 0 , 1 , 1 , 0
Firearm , 0 , 0 , 4 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 4 , 0 , 6 , 2 , 2 , 0
Other Dangerous Weapon , 0 , 0 , 9 , 4 , 4 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 1 , 4 , 4 , 1
"Simple (Hands, Fists, Feet, etc.) ", 26 , 0 , 125 , 96 , 101 , 4
Forcible Entry , 4 , 0 , 37 , 47 , 9 , 0
Unlawful Entry , 6 , 0 , 17 , 13 , 1 , 0
Attempted Forcible Entry , 1 , 0 , 4 , 2 , 0 , 0
Larceny - Theft , 45 , 0 , 309 , 230 , 63 , 1
Autos , 2 , 0 , 8 , 7 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 1 , 0 , 0
