crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 2 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 3 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 5 , 0 , 22 , 21 , 15 , 1
Forcible Entry , 1 , 0 , 4 , 4 , 1 , 0
Unlawful Entry , 0 , 0 , 0 , 1 , 0 , 0
Attempted Forcible Entry , 1 , 0 , 3 , 1 , 0 , 0
Larceny - Theft , 11 , 0 , 42 , 35 , 7 , 1
Trucks and Buses , 0 , 0 , 1 , 0 , 1 , 0
