crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 1 , 1 , 0
Rape , 2 , 2 , 7 , 3 , 2 , 0
Attempted Rape , 1 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 3 , 3 , 8 , 6 , 1
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 2 , 1 , 3 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 3 , 3 , 19 , 17 , 7 , 1
Gun , 0 , 1 , 1 , 2 , 1 , 0
Knife or Cutting Instrument , 2 , 2 , 11 , 5 , 4 , 0
Other Dangerous Weapon , 2 , 4 , 12 , 12 , 9 , 2
"Aggravated (Hands, Fists, Feet, etc.) ", 3 , 0 , 7 , 8 , 7 , 0
"Simple (Hands, Fists, Feet, etc.) ", 42 , 19 , 148 , 91 , 45 , 6
Forcible Entry , 15 , 14 , 48 , 64 , 12 , 2
Unlawful Entry , 8 , 12 , 31 , 37 , 3 , 1
Attempted Forcible Entry , 9 , 3 , 22 , 12 , 1 , 0
Larceny - Theft , 97 , 85 , 357 , 362 , 85 , 8
Autos , 2 , 6 , 46 , 33 , 0 , 0
Trucks and Buses , 4 , 0 , 6 , 0 , 0 , 0
Other Vehicle , 1 , 0 , 2 , 1 , 0 , 0
