crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 4 , 1 , 0 , 0
Firearm , 0 , 0 , 2 , 5 , 2 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 9 , 0 , 62 , 53 , 31 , 7
Forcible Entry , 4 , 0 , 14 , 5 , 2 , 1
Unlawful Entry , 2 , 0 , 12 , 16 , 1 , 1
Attempted Forcible Entry , 2 , 0 , 7 , 0 , 0 , 0
Larceny - Theft , 18 , 0 , 144 , 59 , 9 , 3
Autos , 2 , 0 , 20 , 7 , 1 , 1
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 1 , 0 , 3 , 2 , 0 , 0
