crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 2 , 1 , 0
Firearm , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 2 , 2 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 3 , 24 , 18 , 9 , 1
Forcible Entry , 1 , 1 , 2 , 3 , 0 , 0
Unlawful Entry , 0 , 0 , 4 , 3 , 0 , 0
Attempted Forcible Entry , 0 , 1 , 1 , 3 , 0 , 0
Larceny - Theft , 17 , 7 , 72 , 48 , 15 , 0
Autos , 0 , 1 , 2 , 3 , 1 , 0
Trucks and Buses , 0 , 0 , 0 , 1 , 1 , 0
