crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 1 , 8 , 4 , 2 , 0
Firearm , 0 , 2 , 1 , 3 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 2 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 3 , 2 , 0 , 0
Gun , 0 , 0 , 0 , 1 , 1 , 0
Knife or Cutting Instrument , 3 , 1 , 6 , 4 , 3 , 0
Other Dangerous Weapon , 3 , 3 , 5 , 9 , 5 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 1 , 7 , 7 , 4 , 0
"Simple (Hands, Fists, Feet, etc.) ", 24 , 27 , 90 , 129 , 65 , 12
Forcible Entry , 3 , 2 , 21 , 12 , 2 , 0
Unlawful Entry , 1 , 4 , 16 , 20 , 6 , 0
Attempted Forcible Entry , 2 , 1 , 9 , 6 , 1 , 0
Larceny - Theft , 38 , 42 , 156 , 188 , 74 , 3
Autos , 4 , 3 , 13 , 14 , 0 , 0
Trucks and Buses , 0 , 1 , 0 , 1 , 0 , 0
Other Vehicle , 0 , 1 , 0 , 2 , 0 , 0
