crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 1 , 0 , 0
Attempted Rape , 0 , 0 , 2 , 0 , 0 , 0
Firearm , 0 , 1 , 0 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 3 , 2 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 1 , 2 , 3 , 4 , 0
"Simple (Hands, Fists, Feet, etc.) ", 9 , 7 , 34 , 39 , 13 , 2
Forcible Entry , 2 , 0 , 11 , 13 , 2 , 0
Unlawful Entry , 1 , 3 , 9 , 10 , 5 , 0
Attempted Forcible Entry , 1 , 0 , 3 , 1 , 0 , 0
Larceny - Theft , 26 , 25 , 106 , 128 , 46 , 1
Autos , 0 , 2 , 2 , 6 , 0 , 0
