crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 2 , 1 , 1 , 0
Attempted Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 0 , 2 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 3 , 3 , 23 , 15 , 9 , 3
Forcible Entry , 1 , 1 , 9 , 3 , 0 , 0
Unlawful Entry , 1 , 0 , 10 , 8 , 2 , 0
Attempted Forcible Entry , 0 , 1 , 2 , 2 , 0 , 0
Larceny - Theft , 30 , 28 , 129 , 193 , 84 , 3
Autos , 0 , 0 , 1 , 2 , 0 , 0
