crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 1 , 0 , 0
Firearm , 1 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 3 , 5 , 2 , 2
Gun , 0 , 0 , 3 , 2 , 0 , 0
Other Dangerous Weapon , 4 , 0 , 9 , 6 , 2 , 0
"Simple (Hands, Fists, Feet, etc.) ", 27 , 0 , 124 , 70 , 21 , 1
Forcible Entry , 1 , 0 , 25 , 14 , 9 , 0
Unlawful Entry , 2 , 0 , 10 , 8 , 0 , 0
Attempted Forcible Entry , 3 , 0 , 5 , 2 , 1 , 0
Larceny - Theft , 31 , 0 , 118 , 135 , 24 , 1
Autos , 0 , 0 , 9 , 4 , 0 , 0
Other Vehicle , 0 , 0 , 2 , 1 , 0 , 0
