crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 2 , 0 , 0 , 0
Attempted Rape , 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 2 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 6 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 3 , 0 , 25 , 12 , 5 , 0
Forcible Entry , 1 , 0 , 3 , 0 , 0 , 0
Unlawful Entry , 3 , 0 , 17 , 10 , 1 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 0 , 0 , 0
Larceny - Theft , 28 , 0 , 176 , 72 , 10 , 0
Autos , 0 , 0 , 1 , 0 , 0 , 0
