crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 3 , 8 , 8 , 1
Attempted Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 1 , 0 , 9 , 2 , 1 , 0
Knife or Cutting Instrument , 1 , 0 , 4 , 2 , 2 , 0
Other Dangerous Weapon , 3 , 0 , 5 , 3 , 2 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 6 , 7 , 3 , 0
Gun , 0 , 0 , 0 , 8 , 3 , 0
Knife or Cutting Instrument , 5 , 0 , 12 , 8 , 7 , 0
Other Dangerous Weapon , 7 , 0 , 10 , 12 , 12 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 13 , 6 , 5 , 0
"Simple (Hands, Fists, Feet, etc.) ", 65 , 0 , 195 , 118 , 112 , 6
Forcible Entry , 7 , 0 , 47 , 21 , 5 , 0
Unlawful Entry , 3 , 0 , 36 , 32 , 2 , 0
Attempted Forcible Entry , 5 , 0 , 15 , 4 , 0 , 0
Larceny - Theft , 61 , 0 , 274 , 205 , 25 , 0
Autos , 3 , 0 , 12 , 14 , 2 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 1 , 0 , 0
