crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 0 , 1 , 0 , 0
Firearm , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 1 , 0 , 8 , 0 , 0 , 0
Forcible Entry , 1 , 0 , 4 , 4 , 0 , 0
Unlawful Entry , 0 , 0 , 0 , 1 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 5 , 0 , 0
Larceny - Theft , 10 , 0 , 42 , 28 , 6 , 0
Autos , 0 , 0 , 0 , 2 , 1 , 0
