crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 0 , 2 , 1 , 1
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 2 , 2 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 3 , 13 , 7 , 2
Gun , 0 , 0 , 2 , 1 , 1 , 1
Knife or Cutting Instrument , 1 , 0 , 6 , 2 , 2 , 1
Other Dangerous Weapon , 4 , 0 , 8 , 3 , 3 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 3 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 27 , 0 , 104 , 84 , 45 , 4
Forcible Entry , 6 , 0 , 28 , 17 , 4 , 0
Unlawful Entry , 4 , 0 , 10 , 13 , 2 , 1
Attempted Forcible Entry , 0 , 0 , 3 , 3 , 0 , 0
Larceny - Theft , 46 , 0 , 199 , 183 , 53 , 1
Autos , 5 , 0 , 31 , 34 , 2 , 0
Trucks and Buses , 3 , 0 , 9 , 7 , 0 , 0
Other Vehicle , 1 , 0 , 1 , 5 , 0 , 0
