crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 1 , 1 , 2 , 0
Rape , 0 , 0 , 3 , 1 , 0 , 0
Firearm , 2 , 0 , 7 , 1 , 2 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 2 , 3 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 3 , 0 , 6 , 7 , 2 , 1
Gun , 4 , 0 , 12 , 12 , 1 , 0
Knife or Cutting Instrument , 1 , 0 , 3 , 4 , 2 , 0
Other Dangerous Weapon , 1 , 0 , 2 , 2 , 2 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 7 , 4 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 9 , 0 , 60 , 44 , 24 , 4
Forcible Entry , 7 , 0 , 27 , 28 , 3 , 0
Unlawful Entry , 4 , 0 , 6 , 8 , 0 , 0
Attempted Forcible Entry , 3 , 0 , 10 , 6 , 0 , 0
Larceny - Theft , 20 , 0 , 59 , 54 , 14 , 1
Autos , 2 , 0 , 6 , 9 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 1 , 0 , 0
