crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 0 , 0 , 0
Firearm , 0 , 0 , 0 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 4 , 1 , 2 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 3 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 12 , 0 , 46 , 25 , 14 , 4
Forcible Entry , 6 , 0 , 28 , 14 , 1 , 0
Unlawful Entry , 5 , 0 , 19 , 13 , 3 , 0
Larceny - Theft , 22 , 0 , 107 , 83 , 9 , 0
Autos , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 3 , 0 , 0
