crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 4 , 2 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 3 , 0 , 18 , 12 , 0 , 0
Forcible Entry , 1 , 0 , 11 , 6 , 0 , 0
Unlawful Entry , 0 , 0 , 5 , 2 , 0 , 0
Attempted Forcible Entry , 4 , 0 , 18 , 8 , 0 , 0
Larceny - Theft , 12 , 0 , 57 , 38 , 0 , 0
Autos , 1 , 0 , 5 , 1 , 0 , 0
Other Vehicle , 1 , 0 , 2 , 0 , 0 , 0
