crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 2 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 3 , 1 , 1 , 1
Other Dangerous Weapon , 0 , 0 , 0 , 2 , 2 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 20 , 0 , 81 , 37 , 50 , 4
Forcible Entry , 2 , 0 , 14 , 15 , 1 , 0
Unlawful Entry , 1 , 0 , 3 , 3 , 1 , 0
Larceny - Theft , 15 , 0 , 73 , 56 , 17 , 2
Autos , 2 , 0 , 4 , 3 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 0 , 0 , 0
