crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 1 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 1 , 0 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 2 , 14 , 11 , 4 , 0
Forcible Entry , 0 , 0 , 2 , 10 , 0 , 0
Unlawful Entry , 0 , 0 , 2 , 15 , 0 , 0
Attempted Forcible Entry , 0 , 1 , 2 , 5 , 0 , 0
Larceny - Theft , 18 , 25 , 63 , 86 , 6 , 0
Autos , 2 , 3 , 3 , 5 , 2 , 0
