crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 3 , 1 , 0 , 0
Firearm , 1 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 3 , 0 , 4 , 2 , 0 , 0
Gun , 3 , 0 , 5 , 0 , 0 , 0
Knife or Cutting Instrument , 3 , 0 , 7 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 2 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 4 , 4 , 4 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 0 , 50 , 19 , 13 , 1
Forcible Entry , 7 , 0 , 17 , 5 , 2 , 0
Unlawful Entry , 1 , 0 , 8 , 8 , 1 , 0
Attempted Forcible Entry , 0 , 0 , 5 , 2 , 1 , 0
Larceny - Theft , 41 , 0 , 172 , 86 , 44 , 0
Autos , 3 , 0 , 3 , 5 , 2 , 0
Other Vehicle , 0 , 0 , 1 , 1 , 0 , 0
