crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 2 , 0 , 28 , 9 , 1 , 0
Forcible Entry , 0 , 0 , 3 , 3 , 1 , 0
Unlawful Entry , 0 , 0 , 0 , 2 , 0 , 0
Attempted Forcible Entry , 1 , 0 , 1 , 0 , 0 , 0
Larceny - Theft , 13 , 0 , 92 , 32 , 12 , 0
Autos , 1 , 0 , 5 , 3 , 0 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 2 , 0 , 0 , 0
