crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 0 , 0 , 0
Rape , 1 , 0 , 3 , 0 , 0 , 0
Firearm , 0 , 0 , 2 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 6 , 0 , 0 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 8 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 3 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 28 , 0 , 119 , 0 , 0 , 0
Forcible Entry , 16 , 0 , 80 , 0 , 0 , 0
Unlawful Entry , 6 , 0 , 15 , 0 , 0 , 0
Attempted Forcible Entry , 2 , 0 , 4 , 0 , 0 , 0
Larceny - Theft , 54 , 0 , 194 , 0 , 0 , 0
Autos , 2 , 0 , 2 , 0 , 0 , 0
Other Vehicle , 1 , 0 , 1 , 0 , 0 , 0
