crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 0 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 1 , 0 , 2 , 1 , 1
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 3 , 1 , 1
Knife or Cutting Instrument , 0 , 0 , 0 , 2 , 2 , 0
Other Dangerous Weapon , 3 , 0 , 6 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 3 , 2 , 2 , 0
"Simple (Hands, Fists, Feet, etc.) ", 16 , 12 , 72 , 68 , 50 , 7
Forcible Entry , 4 , 0 , 7 , 2 , 0 , 0
Unlawful Entry , 0 , 0 , 4 , 5 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 0 , 0 , 0
Larceny - Theft , 17 , 9 , 68 , 51 , 20 , 4
Autos , 1 , 0 , 1 , 6 , 5 , 0
