crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 1 , 0 , 0 , 0
Rape , 0 , 0 , 1 , 0 , 1 , 0
Attempted Rape , 0 , 0 , 0 , 0 , 1 , 0
Firearm , 0 , 0 , 3 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 4 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 1 , 0
Other Dangerous Weapon , 3 , 0 , 7 , 4 , 2 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 3 , 0 , 8 , 11 , 8 , 0
"Simple (Hands, Fists, Feet, etc.) ", 24 , 0 , 106 , 62 , 20 , 3
Forcible Entry , 7 , 0 , 15 , 10 , 0 , 0
Unlawful Entry , 5 , 0 , 13 , 22 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 2 , 0 , 0
Larceny - Theft , 40 , 0 , 161 , 97 , 18 , 2
Autos , 4 , 0 , 10 , 1 , 1 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
