crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 1 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 0 , 0 , 8 , 8 , 7 , 0
Forcible Entry , 0 , 0 , 7 , 2 , 0 , 0
Unlawful Entry , 0 , 0 , 2 , 2 , 0 , 0
Larceny - Theft , 3 , 0 , 29 , 14 , 2 , 0
Autos , 0 , 0 , 1 , 2 , 2 , 0
Other Vehicle , 0 , 0 , 1 , 0 , 0 , 0
