crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 2 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 4 , 2 , 2 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 2 , 0 , 6 , 4 , 4 , 1
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 3 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 0 , 24 , 21 , 7 , 0
Forcible Entry , 0 , 0 , 2 , 5 , 0 , 0
Unlawful Entry , 1 , 0 , 3 , 4 , 2 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 0 , 0 , 0
Larceny - Theft , 23 , 0 , 107 , 106 , 37 , 4
Autos , 0 , 0 , 2 , 1 , 0 , 0
Trucks and Buses , 1 , 0 , 2 , 2 , 0 , 0
